Date,Open,High,Low,Close,Volume,Adj Close
1998-01-02,50.07,50.13,49.51,49.94,359600,11.65
1997-12-31,49.27,50.38,49.14,50.31,1006400,11.73
1997-12-30,48.71,49.51,48.71,49.27,1536800,11.49
1997-12-29,48.10,48.71,48.10,48.22,407600,11.24
1997-12-26,47.05,47.54,46.99,47.54,123600,11.09
1997-12-24,47.79,47.97,47.05,47.11,211200,10.99
1997-12-23,48.16,48.34,47.72,47.72,1120800,11.13
1997-12-22,48.46,49.33,48.16,48.16,736000,11.23
1997-12-19,49.76,49.76,47.36,48.28,1512800,11.26
1997-12-18,50.50,50.50,49.14,49.88,736800,11.63
1997-12-17,50.50,50.81,50.31,50.50,1148000,11.78
1997-12-16,50.07,50.50,49.88,50.31,796000,11.73
1997-12-15,49.82,50.56,49.02,49.57,767200,11.56
1997-12-12,48.16,49.20,48.16,48.96,729600,11.42
1997-12-11,50.19,50.19,47.66,47.91,1782800,11.17
1997-12-10,52.41,52.41,49.88,50.56,1586400,11.79
1997-12-09,52.35,54.32,52.04,52.47,1664800,12.24
1997-12-08,52.29,52.72,51.92,52.47,848800,12.24
1997-12-05,50.62,52.04,50.31,51.86,787200,12.09
1997-12-04,51.42,51.61,50.87,50.87,803600,11.86
1997-12-03,49.39,51.42,49.39,51.42,1404000,11.99
1997-12-02,49.27,49.88,48.80,49.20,638800,11.47
1997-12-01,50.07,50.07,49.02,49.08,1240800,11.45
1997-11-28,47.72,50.07,47.48,49.88,568800,11.63
1997-11-26,48.22,48.28,47.72,47.85,822400,11.16
1997-11-25,46.31,46.86,45.57,46.49,708400,10.84
1997-11-24,46.92,46.92,45.75,45.81,572800,10.68
1997-11-21,47.72,47.97,46.74,46.92,1217600,10.94
1997-11-20,45.63,48.22,45.26,47.72,1593200,11.13
1997-11-19,43.96,45.07,43.96,44.95,1159600,10.48
1997-11-18,45.01,45.32,43.90,43.96,647200,10.25
1997-11-17,43.90,45.14,43.90,44.77,909600,10.44
1997-11-14,43.04,43.66,43.04,43.29,1241600,10.09
1997-11-13,43.78,44.03,41.99,42.55,2349600,9.92
1997-11-12,46.00,46.00,43.41,43.41,1663600,10.12
1997-11-11,46.43,46.74,46.12,46.25,661600,10.77
1997-11-10,48.03,48.53,46.06,46.25,1113600,10.77
1997-11-07,48.28,48.28,46.74,47.91,1387200,11.16
1997-11-06,49.70,50.62,48.90,49.14,1260800,11.44
1997-11-05,48.22,49.88,48.10,49.57,1285600,11.55
1997-11-04,48.03,48.83,47.66,48.16,1214400,11.22
1997-11-03,46.99,48.03,46.99,48.03,1874400,11.19
1997-10-31,46.80,47.66,45.82,46.37,1358800,10.80
1997-10-30,47.29,48.10,46.68,46.68,1205600,10.87
1997-10-29,47.91,49.20,47.79,48.40,1590400,11.27
1997-10-28,42.37,48.16,42.00,47.66,4030800,11.10
1997-10-27,50.07,50.44,45.82,46.06,2066400,10.73
1997-10-24,52.59,52.71,50.93,51.05,1210800,11.89
